timestamp,object,alert,confidence,coords
2025-09-05 13:38:10,person,Info,0.93,"[208.13177490234375, 104.29556274414062, 536.1327514648438, 358.27923583984375]"
2025-09-05 13:38:10,person,Info,0.69,"[0.06813636422157288, 252.17440795898438, 59.014591217041016, 342.68524169921875]"
2025-09-05 13:38:10,person,Info,0.58,"[0.18386255204677582, 287.6470031738281, 53.693702697753906, 358.1753845214844]"
2025-09-05 13:38:10,chair,Info,0.44,"[114.31727600097656, 299.6501770019531, 190.364990234375, 360.0]"
2025-09-05 13:38:10,chair,Info,0.34,"[83.40164184570312, 299.0546569824219, 139.6244354248047, 327.7946472167969]"
2025-09-05 13:38:10,chair,Info,0.26,"[49.63822937011719, 306.6283874511719, 77.77427673339844, 332.1921081542969]"
2025-09-05 13:38:10,person,Info,0.93,"[210.61312866210938, 104.49526977539062, 537.3628540039062, 357.3828125]"
2025-09-05 13:38:10,person,Info,0.63,"[0.1367715746164322, 252.91213989257812, 58.85038757324219, 341.7894592285156]"
2025-09-05 13:38:10,person,Info,0.59,"[0.20828834176063538, 287.380859375, 53.6724739074707, 358.47637939453125]"
2025-09-05 13:38:10,chair,Info,0.34,"[85.83223724365234, 298.9087829589844, 139.6991424560547, 327.87542724609375]"
2025-09-05 13:38:10,tv,Info,0.29,"[451.5401611328125, 229.66436767578125, 549.9600219726562, 285.0400695800781]"
2025-09-05 13:38:10,person,Info,0.92,"[202.93865966796875, 104.08692932128906, 537.6507568359375, 357.6451721191406]"
2025-09-05 13:38:10,person,Info,0.60,"[0.12201163172721863, 252.7742919921875, 59.98250198364258, 342.36083984375]"
2025-09-05 13:38:10,person,Info,0.57,"[0.21623465418815613, 287.0496520996094, 53.8006477355957, 358.0763854980469]"
2025-09-05 13:38:10,chair,Info,0.26,"[86.39170837402344, 299.25091552734375, 139.51217651367188, 327.5038146972656]"
2025-09-05 13:38:11,person,Info,0.92,"[199.2620849609375, 104.3934555053711, 537.1281127929688, 357.0934143066406]"
2025-09-05 13:38:11,person,Info,0.63,"[0.591882586479187, 252.78326416015625, 59.91108322143555, 342.39263916015625]"
2025-09-05 13:38:11,person,Info,0.61,"[0.18998953700065613, 287.8388366699219, 53.24848175048828, 358.4468688964844]"
2025-09-05 13:38:11,chair,Info,0.39,"[108.41568756103516, 298.9571533203125, 190.40370178222656, 358.465576171875]"
2025-09-05 13:38:11,tv,Info,0.29,"[451.3939514160156, 229.39285278320312, 550.4713745117188, 284.99176025390625]"
2025-09-05 13:38:11,chair,Info,0.28,"[86.02584075927734, 298.7567138671875, 139.78683471679688, 328.2052001953125]"
2025-09-05 13:38:11,person,Info,0.93,"[193.34848022460938, 103.8475570678711, 537.3152465820312, 357.2238464355469]"
2025-09-05 13:38:11,person,Info,0.57,"[0.18967849016189575, 287.73773193359375, 53.45747756958008, 358.3439025878906]"
2025-09-05 13:38:11,person,Info,0.54,"[0.10000375658273697, 252.21726989746094, 60.38526916503906, 344.8040771484375]"
2025-09-05 13:38:11,chair,Info,0.47,"[113.65850830078125, 299.4544372558594, 189.28533935546875, 360.0]"
2025-09-05 13:38:11,tv,Info,0.28,"[451.1195068359375, 228.9369354248047, 548.7196044921875, 284.57147216796875]"
2025-09-05 13:38:11,chair,Info,0.27,"[85.02815246582031, 298.6205749511719, 140.19578552246094, 328.1495666503906]"
2025-09-05 13:38:11,chair,Info,0.27,"[85.176025390625, 298.6820068359375, 139.09518432617188, 327.910888671875]"
2025-09-05 13:38:11,chair,Info,0.26,"[85.22285461425781, 298.62353515625, 139.52122497558594, 328.2264099121094]"
2025-09-05 13:38:11,person,Info,0.92,"[195.0291290283203, 103.77009582519531, 536.53076171875, 357.1391906738281]"
2025-09-05 13:38:11,person,Info,0.66,"[0.12472886592149734, 251.77984619140625, 61.516639709472656, 341.052490234375]"
2025-09-05 13:38:11,person,Info,0.59,"[0.21986742317676544, 288.14984130859375, 53.85432434082031, 358.1680603027344]"
2025-09-05 13:38:11,chair,Info,0.54,"[107.05292510986328, 299.1766357421875, 189.99378967285156, 358.4935302734375]"
2025-09-05 13:38:11,person,Info,0.92,"[195.0753173828125, 103.64996337890625, 536.7744750976562, 357.16717529296875]"
2025-09-05 13:38:11,person,Info,0.62,"[0.1746896654367447, 288.3799133300781, 54.04075241088867, 358.38421630859375]"
2025-09-05 13:38:11,person,Info,0.61,"[0.07951003313064575, 251.76329040527344, 61.33987808227539, 341.5351257324219]"
2025-09-05 13:38:11,tv,Info,0.33,"[451.67083740234375, 229.18734741210938, 549.5105590820312, 284.7535705566406]"
2025-09-05 13:38:11,chair,Info,0.32,"[85.84966278076172, 299.0687561035156, 139.52268981933594, 328.451171875]"
2025-09-05 13:38:11,chair,Info,0.28,"[85.90788269042969, 299.0364990234375, 138.9342803955078, 328.1907958984375]"
