time,alert_level,object,confidence
2025-09-06 03:08:12,caution,person,0.9314419627189636
2025-09-06 03:08:12,info,chair,0.40398290753364563
2025-09-06 03:08:12,info,tie,0.2985025644302368
2025-09-06 03:08:12,caution,person,0.9407751560211182
2025-09-06 03:08:13,info,chair,0.49514371156692505
2025-09-06 03:08:13,caution,person,0.9394996166229248
2025-09-06 03:08:13,info,person,0.3354335427284241
2025-09-06 03:08:13,info,chair,0.2649937868118286
2025-09-06 03:08:13,caution,person,0.9401154518127441
2025-09-06 03:08:14,info,chair,0.3891299366950989
2025-09-06 03:08:14,info,tie,0.3373667895793915
2025-09-06 03:08:14,info,person,0.2756567597389221
