time,alert_level,object,confidence
2025-09-06 03:10:37,caution,person,0.9401724934577942
2025-09-06 03:10:38,caution,person,0.9444314241409302
2025-09-06 03:10:38,caution,person,0.9376482367515564
2025-09-06 03:10:39,caution,person,0.9399318695068359
2025-09-06 03:10:39,caution,person,0.9407625794410706
2025-09-06 03:10:40,caution,person,0.939073383808136
2025-09-06 03:10:40,caution,person,0.9027277827262878
2025-09-06 03:10:41,caution,person,0.7214136123657227
2025-09-06 03:10:41,caution,person,0.9356486797332764
2025-09-06 03:10:42,caution,person,0.9397327303886414
2025-09-06 03:10:42,caution,person,0.9396483302116394
2025-09-06 03:10:43,caution,person,0.9299572706222534
2025-09-06 03:10:43,info,person,0.38452357053756714
2025-09-06 03:10:43,caution,person,0.9395155906677246
2025-09-06 03:10:43,info,tie,0.2907956540584564
