frame,class_id,confidence,bbox(xyxy)
23,0,0.8725409507751465,"[58.26182556152344, 54.35430908203125, 555.6943359375, 479.28167724609375]"
23,27,0.42052313685417175,"[303.99432373046875, 319.885009765625, 381.47479248046875, 479.4176025390625]"
24,0,0.8482807874679565,"[70.141845703125, 54.74964904785156, 554.34033203125, 479.7174072265625]"
24,27,0.2974352538585663,"[302.39630126953125, 317.6055908203125, 381.75701904296875, 478.9908447265625]"
25,0,0.8621124029159546,"[57.12266540527344, 54.470184326171875, 554.005126953125, 479.3285217285156]"
26,0,0.8528347611427307,"[51.88934326171875, 53.173095703125, 552.7835693359375, 479.2332763671875]"
27,0,0.861472487449646,"[54.72032165527344, 52.633087158203125, 556.076171875, 479.3103942871094]"
28,0,0.8636787533760071,"[49.66279602050781, 51.30720520019531, 553.2401733398438, 479.19073486328125]"
29,0,0.8516005873680115,"[55.95599365234375, 52.04112243652344, 544.5496826171875, 479.451416015625]"
29,27,0.36021506786346436,"[299.39837646484375, 318.99810791015625, 378.68621826171875, 479.77886962890625]"
30,0,0.8628587126731873,"[53.09417724609375, 54.722747802734375, 551.7705078125, 479.3409729003906]"
31,0,0.8574296236038208,"[53.19976806640625, 52.45465087890625, 552.3977661132812, 479.3861083984375]"
32,0,0.8712713122367859,"[55.88121032714844, 53.85414123535156, 553.0694580078125, 479.3878173828125]"
33,0,0.8774632811546326,"[53.14408874511719, 52.9146728515625, 555.0493774414062, 479.38812255859375]"
34,0,0.8647485971450806,"[51.26457214355469, 53.90049743652344, 551.6085815429688, 479.188720703125]"
35,0,0.8494011759757996,"[55.55714416503906, 53.03239440917969, 546.1834716796875, 479.49285888671875]"
36,0,0.8874465227127075,"[48.01844787597656, 55.2767333984375, 555.3988037109375, 479.42401123046875]"
37,0,0.8668702244758606,"[55.76170349121094, 52.81443786621094, 551.74169921875, 479.3267822265625]"
37,27,0.2873331308364868,"[302.22088623046875, 327.57080078125, 379.12432861328125, 479.8060302734375]"
